Symbol,Security,SECfilings,GICSSector,GICSSub-Industry,HeadquartersLocation,Datefirstadded,CIK,Founded
CCL,Carnival,reports,ConsumerDiscretionary,Hotels,Resorts&CruiseLines,Miami,Florida,1998-12-22,0000815097,1972
CARR,Carrier,reports,Industrials,BuildingProducts,PalmBeachGardens,Florida,2020-04-03,0001783180,2020(1915)
CTLT,Catalent,reports,HealthCare,Pharmaceuticals,Somerset,NewJersey,2020-09-21,0001596783,2007
CAT,Caterpillar,reports,Industrials,ConstructionMachinery&HeavyTrucks,Deerfield,Illinois,1957-03-04,0000018230,1925
CBOE,Cboe,reports,Financials,FinancialExchanges&Data,Chicago,Illinois,2017-03-01,0001374310,1973
CBRE,CBRE,reports,RealEstate,RealEstateServices,Dallas,Texas,2006-11-10,0001138118,1906
CDW,CDW,reports,InformationTechnology,TechnologyDistributors,Lincolnshire,Illinois,2019-09-23,0001402057,1984
CE,Celanese,reports,Materials,SpecialtyChemicals,Irving,Texas,2018-12-24,0001306830,1918
CNC,Centene,reports,HealthCare,ManagedHealthCare,St.Louis,Missouri,2016-03-30,0001071739,1984
CNP,CenterPointEnergy,reports,Utilities,Multi-Utilities,Houston,Texas,1985-07-31,0001130310,1882
CDAY,Ceridian,reports,InformationTechnology,ApplicationSoftware,Minneapolis,Minnesota,2021-09-20,0001725057,1992
CERN,Cerner,reports,HealthCare,HealthCareTechnology,NorthKansasCity,Missouri,2010-04-30,0000804753,1979
CF,CFIndustries,reports,Materials,Fertilizers&AgriculturalChemicals,Deerfield,Illinois,2008-08-27,0001324404,1946
CRL,CharlesRiver,reports,HealthCare,LifeSciencesTools&Services,Wilmington,Massachusetts,2021-05-14,0001100682,1947
SCHW,CharlesSchwab,reports,Financials,InvestmentBanking&Brokerage,Westlake,Texas,1997-06-02,0000316709,1971
CHTR,CharterCommunications,reports,CommunicationServices,Cable&Satellite,Stamford,Connecticut,2016-09-08,0001091667,1993
CVX,Chevron,reports,Energy,IntegratedOil&Gas,SanRamon,California,1957-03-04,0000093410,1879
CMG,ChipotleMexicanGrill,reports,ConsumerDiscretionary,Restaurants,NewportBeach,California,2011-04-28,0001058090,1993
CB,Chubb,reports,Financials,Property&CasualtyInsurance,Zurich,Switzerland,2010-07-15,0000896159,1985
CHD,Church&Dwight,reports,ConsumerStaples,HouseholdProducts,Ewing,NewJersey,2015-12-29,0000313927,1847
CI,Cigna,reports,HealthCare,ManagedHealthCare,Bloomfield,Connecticut,1976-06-30,0001739940,1982
CINF,CincinnatiFinancial,reports,Financials,Property&CasualtyInsurance,Fairfield,Ohio,1997-12-18,0000020286,1950
CTAS,Cintas,reports,Industrials,DiversifiedSupportServices,Mason,Ohio,2001-03-01,0000723254,1929
CSCO,Cisco,reports,InformationTechnology,CommunicationsEquipment,SanJose,California,1993-12-01,0000858877,1984
C,Citigroup,reports,Financials,DiversifiedBanks,NewYorkCity,NewYork,1988-05-31,0000831001,1998
CFG,Citizens,reports,Financials,RegionalBanks,Providence,RhodeIsland,2016-01-29,0000759944,1828
CTXS,Citrix,reports,InformationTechnology,ApplicationSoftware,FortLauderdale,Florida,1999-12-01,0000877890,1989
CLX,Clorox,reports,ConsumerStaples,HouseholdProducts,Oakland,California,1969-03-31,0000021076,1913
CME,CMEGroup,reports,Financials,FinancialExchanges&Data,Chicago,Illinois,2006-08-11,0001156375,1848
CMS,CMSEnergy,reports,Utilities,Multi-Utilities,Jackson,Michigan,1999-05-03,0000811156,1886
KO,Coca-Cola,reports,ConsumerStaples,SoftDrinks,Atlanta,Georgia,1957-03-04,0000021344,1886
CTSH,Cognizant,reports,InformationTechnology,ITConsulting&OtherServices,Teaneck,NewJersey,2006-11-17,0001058290,1994
CL,Colgate-Palmolive,reports,ConsumerStaples,HouseholdProducts,NewYorkCity,NewYork,1957-03-04,0000021665,1806
CMCSA,Comcast,reports,CommunicationServices,Cable&Satellite,Philadelphia,Pennsylvania,2002-11-19,0001166691,1963
CMA,Comerica,reports,Financials,DiversifiedBanks,Dallas,Texas,1995-12-01,0000028412,1849
